reps,,timeone,timetwo,,b,,,N,,,,a,,,first,,second
1000000,,4.91,4.88,,2.048,,,2048,,,,8192,,,2.4,,2.38
500000,,4.88,5.14,,2.048,,,4096,,,,16384,,,2.38,,2.51
250000,,4.76,5.3,,2.048,,,8192,,,,32768,,,2.32,,2.59
125000,,4.77,6.06,,2.048,,,16384,,,,65536,,,2.33,,2.96
62500,,4.78,8.07,,2.048,,,32768,,,,131072,,,2.33,,3.94
31250,,4.78,9.25,,2.048,,,65536,,,,262144,,,2.33,,4.52
15625,,5.26,12.67,,2.048,,,131072,,,,524288,,,2.57,,6.19
7812,,5.65,34.02,,2.047868928,,,262144,,,,1048576,,,2.76,,16.61
3906,,5.88,68.91,,2.047868928,,,524288,,,,2097152,,,2.87,,33.65
1953,,6.04,77.21,,2.047868928,,,1048576,,,,4194304,,,2.95,,37.7
976,,6.09,85.61,,2.046820352,,,2097152,,,,8388608,,,2.98,,41.83
488,,6.14,89.01,,2.046820352,,,4194304,,,,16777216,,,3,,43.49
244,,6.17,92.19,,2.046820352,,,8388608,,,,33554432,,,3.01,,45.04
122,,6.16,92.69,,2.046820352,,,16777216,,,,67108864,,,3.01,,45.28
